English,Japanese,French,Spanish,Italian,Afrikaans,Arabic,Bulgarian,Czech,Welsh,Danish,German,Greek,Finnish,Hebrew,Hindi,Icelandic,Korean,Maori,Polish,Russian,Swedish,Thai,Turkish,Vietnamese,Chinese
ok,わかった,d'accord,OK,ok,ok,موافق,Добре,OK,iawn,Okay,OK,Εντάξει,hyvä,בסדר,ठीक है,Ok,좋아요,ok,ok,Ok,ok,ตกลง,tamam,Vâng,好的
take,取った,prendre,tomar,prendere,neem,يأخذ,предприеме,vzít,cymeran,tage,nehmen,παίρνω,ottaa,לקחת,लेना,Taktu,가져가다,whakuru,Brać,брать,ta,เอา,almak,cầm lấy,拿
an,an,un,un,un,'n,و,an,An,a,en,ein,ένα,yksi,AN,एक,An,an,he,jakiś,атмосфера,en,หนึ่ง,bir,một,一个
way,仕方,façon,camino,modo,pad,طريق,начин,způsob,ffordd,vej,Weg,τρόπος,tapa,דֶרֶך,मार्ग,leið,방법,arā,droga,путь,sätt,ทาง,yol,đường,方法
us,我ら,nous,a nosotros,noi,ons,نحن,нас,nás,ni,os,uns,μας,meille,לָנוּ,हम,BNA,우리를,māua,nas,нас,oss,เรา,biz,chúng ta,我们
little,少し,peu,poco,piccolo,klein,قليل,малко,málo,bach,lille,wenig,λίγο,vähän,קטן,थोड़ा,Lítið,작은,pakupaku,mały,маленький,liten,เล็กน้อย,biraz,nhỏ bé,小的
make,作る,Fabriquer,hacer,rendere,maak,صنع,направете,udělat,Creu,lave,machen,"φτιαχνω, κανω",tehdä,עשה,बनाना,gera,만들다,mahi,robić,делать,göra,ทำ,Yapmak,làm,制作
need,必要,besoin,necesitar,bisogno,behoefte,بحاجة إلى,трябва,potřeba,angen,brug for,brauchen,χρειάζομαι,tarve,צוֹרֶך,जरुरत,þörf,필요,hiahiatanga,potrzebować,необходимость,behöver,ความต้องการ,ihtiyaç,cần,需要
gonna,行くつもりです,va,ir a,andando,wat,سوف أفعل,ще,budu,gonna,vil,wird,θα,tahdissa,עומד ל,होने वाला,Ætla,할거야,gonna,zamierzać,собираюсь,kommer,จะ,yapacak,sẽ,要
never,一度もない,jamais,nunca,mai,nooit,أبداً,никога,nikdy,byth,aldrig,noch nie,ποτέ,ei milloinkaan,לעולם לא,कभी नहीँ,aldrei,절대,kore rawa,nigdy,никогда,aldrig,ไม่เคย,asla,không bao giờ,绝不
we're,そうだった,étaient,fueron,erano,was,كانوا,са били,Jsme,rydyn ni,Vi er,war,είμαστε,lyhennys muodosta 'wees',אנחנו,थे,Við erum,이었다,ko matou,byli,были,vi är,คือ,Biz,là,是
too,それも,aussi,también,anche,ook,جدا,също,také,hefyd,også,zu,πολύ,liian,גַם,बहुत,of,~도,hoki,także,слишком,för,ด้วย,fazla,cũng vậy,也
love,愛,aimer,amor,amore,liefde,الحب,любов,milovat,chari,kærlighed,Liebe,αγάπη,rakkaus,אהבה,प्यार,Ást,사랑,aroha,kocham,любовь,kärlek,รัก,aşk,yêu và quý,爱
she's,彼女は,elle est,Ella es,Lei è,sy is,هي,тя е,ona je,Mae hi,Det er hun,sie ist,αυτή είναι,hän on,היא,वह है,hún,그녀는,Ko ia,Ona jest,она,hon är,เธอ,O,Cô ấy,她是
I've,私は,J'ai,He,Io ho,Ek het,لدي,Аз съм,Já,Gyda,Jeg har,Ich habe,Εγώ έχω,Lyhennys ',יש לי,मैंने,ég hef,나는,No ahau,Ja,Я,Jag,ฉัน,ben sahibim,tôi có,我有
sure,承知しました,Bien sur,Por supuesto,sicuro,seker,بالتأكيد,сигурен,Tak určitě,sicr,jo da,sicher,σίγουρος,varma,בטוח,ज़रूर,Jú,확실한,mōhio tūturu,Jasne,Конечно,Säker,แน่นอน,Elbette,chắc chắn rồi,当然
them,彼ら,leur,a ellos,loro,hulle,هم,тях,jim,nhw,dem,Sie,τους,niitä,אוֹתָם,उन्हें,þá,그들을,rāua,ich,их,dem,พวกเขา,onlara,họ,他们
more,もっと,Suite,más,Di più,meer,أكثر,Повече ▼,více,mwy,mere,mehr,περισσότερο,lisää,יותר,अधिक,Meira,더,ētahi atu,jeszcze,более,Mer,มากกว่า,daha fazla,hơn,更多的
over,以上,plus de,sobre,Sopra,oor,خلال,над,přes,ar ei ben,over,Über,πάνω από,yli,על,ऊपर,Yfir,~ 위에,runga,koniec,над,över,เกิน,üzerinde,kết thúc,超过
our,私たちの,notre,nuestro,i nostri,ons,ملكنا,нашите,náš,ein,vores,unser,μας,meidän,שֶׁלָנוּ,हमारी,Okkar,우리의,ā tātou,nasz,наш,vår,ของเรา,bizim,của chúng tôi,我们的
sorry,ごめん,Pardon,perdón,spiacente,jammer,آسف,Извинете,Promiňte,flin,undskyld,Verzeihung,συγνώμη,pahoillani,מצטער,माफ़ करना,Því miður,죄송합니다,rongo,przepraszam,Извините,förlåt,ขอโทษ,Üzgünüm,lấy làm tiếc,对不起
where,どこ,où,dónde,dove,waar,أين,където,kde,ble,hvor,wo,όπου,missä,איפה,कहाँ पे,hvar,어디,kai whea,gdzie,куда,var,ที่ไหน,nerede,ở đâu,在哪里
what's,何ですか,qu'est-ce que,qué,Cosa,wat is,ما هى,Какво е,Co je,Beth yw,Hvad er der,Was ist,τι,lyhennys muodosta 'what woul',מה זה,क्या है,hvað er,뭐야,he aha,Co jest,Что,vad är,อะไร,Ne,Cái gì,什么是
